date,police_station,daily_violations,7day_avg
2023-11-09,Basavanagudi,27,27.0
2023-11-09,Bellandur,2,2.0
2023-11-09,Chamarajpet,20,20.0
2023-11-09,Chikkabanavara,1,1.0
2023-11-09,Chikkajala,7,7.0
2023-11-09,City Market,3,3.0
2023-11-09,HAL Old Airport,6,6.0
2023-11-09,Halasuru Gate,4,4.0
2023-11-09,High ground,2,2.0
2023-11-09,Jayanagara,2,2.0
2023-11-09,K.R. Pura,2,2.0
2023-11-09,Madiwala,1,1.0
2023-11-09,Malleshwaram,21,21.0
2023-11-09,Rajajinagar,1,1.0
2023-11-09,Sheshadripuram,11,11.0
2023-11-09,Shivajinagar,7,7.0
2023-11-09,Upparpet,15,15.0
2023-11-09,Vijayanagara,19,19.0
2023-11-09,Wilson Garden,2,2.0
2023-11-10,Adugodi,8,8.0
2023-11-10,Ashok Nagar,28,28.0
2023-11-10,Banashankari,12,12.0
2023-11-10,Banaswadi,3,3.0
2023-11-10,Basavanagudi,8,17.5
2023-11-10,Bellandur,17,9.5
2023-11-10,Byatarayanapura,16,16.0
2023-11-10,Chamarajpet,18,19.0
2023-11-10,Chikkabanavara,8,4.5
2023-11-10,City Market,42,22.5
2023-11-10,Cubbon Park,23,23.0
2023-11-10,Electronic City,1,1.0
2023-11-10,HAL Old Airport,14,10.0
2023-11-10,Halasur,9,9.0
2023-11-10,Halasuru Gate,14,9.0
2023-11-10,Hebbala,18,18.0
2023-11-10,Hennuru,5,5.0
2023-11-10,High ground,7,4.5
2023-11-10,Hulimavu,3,3.0
2023-11-10,J.P. Nagar,5,5.0
2023-11-10,Jalahalli,12,12.0
2023-11-10,Jayanagara,18,10.0
2023-11-10,Jeevanbheemanagar,65,65.0
2023-11-10,Jnanabharathi,2,2.0
2023-11-10,K.R. Pura,50,26.0
2023-11-10,K.S. Layout,32,32.0
2023-11-10,Kengeri,12,12.0
2023-11-10,Kodigehalli,84,84.0
2023-11-10,Madiwala,2,1.5
2023-11-10,Magadi Road,112,112.0
2023-11-10,Mahadevapura,6,6.0
2023-11-10,Malleshwaram,195,108.0
2023-11-10,Mico Layout,9,9.0
2023-11-10,Peenya,6,6.0
2023-11-10,Pulikeshinagar(F.Town),15,15.0
2023-11-10,R.T. Nagar,1,1.0
2023-11-10,Rajajinagar,141,71.0
2023-11-10,Sheshadripuram,39,25.0
2023-11-10,Shivajinagar,83,45.0
2023-11-10,Thalagattapura,1,1.0
2023-11-10,Upparpet,232,123.5
2023-11-10,V.V.Puram (C.Pet),5,5.0
2023-11-10,Vijayanagara,66,42.5
2023-11-10,Whitefield,27,27.0
2023-11-10,Wilson Garden,14,8.0
2023-11-10,Yelahanka,45,45.0
2023-11-10,Yeshwanthpura,12,12.0
2023-11-11,Adugodi,9,8.5
2023-11-11,Ashok Nagar,15,21.5
2023-11-11,Banashankari,11,11.5
2023-11-11,Banaswadi,19,11.0
2023-11-11,Basavanagudi,32,22.3
2023-11-11,Bellandur,70,29.7
2023-11-11,Byatarayanapura,15,15.5
2023-11-11,Chamarajpet,58,32.0
2023-11-11,Chikkabanavara,13,7.3
2023-11-11,Chikkajala,2,4.5
2023-11-11,City Market,87,44.0
2023-11-11,Cubbon Park,36,29.5
2023-11-11,Electronic City,10,5.5
2023-11-11,HAL Old Airport,85,35.0
2023-11-11,HSR Layout,37,37.0
2023-11-11,Halasur,18,13.5
2023-11-11,Halasuru Gate,39,19.0
2023-11-11,Hebbala,33,25.5
2023-11-11,Hennuru,6,5.5
2023-11-11,High ground,21,10.0
2023-11-11,Hulimavu,12,7.5
2023-11-11,J.P. Nagar,7,6.0
2023-11-11,Jalahalli,2,7.0
2023-11-11,Jayanagara,43,21.0
2023-11-11,Jeevanbheemanagar,35,50.0
2023-11-11,Jnanabharathi,23,12.5
2023-11-11,K.R. Pura,26,26.0
2023-11-11,K.S. Layout,8,20.0
2023-11-11,Kamakshipalya,6,6.0
2023-11-11,Kengeri,24,18.0
2023-11-11,Kodigehalli,34,59.0
2023-11-11,Madiwala,5,2.7
2023-11-11,Magadi Road,60,86.0
2023-11-11,Mahadevapura,12,9.0
2023-11-11,Malleshwaram,165,127.0
2023-11-11,Mico Layout,8,8.5
2023-11-11,Peenya,4,5.0
2023-11-11,Pulikeshinagar(F.Town),18,16.5
2023-11-11,R.T. Nagar,3,2.0
2023-11-11,Rajajinagar,73,71.7
2023-11-11,Sadashivanagar,6,6.0
2023-11-11,Sheshadripuram,13,21.0
2023-11-11,Shivajinagar,356,148.7
2023-11-11,Thalagattapura,9,5.0
2023-11-11,Upparpet,273,173.3
2023-11-11,V.V.Puram (C.Pet),2,3.5
2023-11-11,Vijayanagara,123,69.3
2023-11-11,Whitefield,3,15.0
2023-11-11,Wilson Garden,12,9.3
2023-11-11,Yelahanka,82,63.5
2023-11-11,Yeshwanthpura,24,18.0
2023-11-12,Adugodi,35,17.3
2023-11-12,Ashok Nagar,10,17.7
2023-11-12,Banashankari,3,8.7
2023-11-12,Banaswadi,3,8.3
2023-11-12,Basavanagudi,9,19.0
2023-11-12,Bellandur,18,26.8
2023-11-12,Byatarayanapura,5,12.0
2023-11-12,Chamarajpet,24,30.0
2023-11-12,Chikkabanavara,9,7.8
2023-11-12,City Market,83,53.8
2023-11-12,Cubbon Park,44,34.3
2023-11-12,Electronic City,25,12.0
2023-11-12,HAL Old Airport,20,31.2
2023-11-12,HSR Layout,162,99.5
2023-11-12,Halasur,12,13.0
2023-11-12,Halasuru Gate,25,20.5
2023-11-12,Hebbala,6,19.0
2023-11-12,Hennuru,7,6.0
2023-11-12,High ground,32,15.5
2023-11-12,Hulimavu,17,10.7
2023-11-12,J.P. Nagar,20,10.7
2023-11-12,Jalahalli,3,5.7
2023-11-12,Jayanagara,37,25.0
2023-11-12,Jeevanbheemanagar,29,43.0
2023-11-12,Jnanabharathi,7,10.7
2023-11-12,K.G. Halli,1,1.0
2023-11-12,K.R. Pura,119,49.2
2023-11-12,K.S. Layout,3,14.3
2023-11-12,Kamakshipalya,17,11.5
2023-11-12,Kengeri,4,13.3
2023-11-12,Kodigehalli,48,55.3
2023-11-12,Madiwala,15,5.8
2023-11-12,Magadi Road,125,99.0
2023-11-12,Mahadevapura,13,10.3
2023-11-12,Malleshwaram,246,156.8
2023-11-12,Mico Layout,15,10.7
2023-11-12,Peenya,10,6.7
2023-11-12,Pulikeshinagar(F.Town),20,17.7
2023-11-12,R.T. Nagar,1,1.7
2023-11-12,Rajajinagar,65,70.0
2023-11-12,Sadashivanagar,18,12.0
2023-11-12,Sheshadripuram,48,27.8
2023-11-12,Shivajinagar,387,208.2
2023-11-12,Thalagattapura,5,5.0
2023-11-12,Upparpet,354,218.5
2023-11-12,V.V.Puram (C.Pet),5,4.0
2023-11-12,Vijayanagara,155,90.8
2023-11-12,Whitefield,37,22.3
2023-11-12,Wilson Garden,29,14.2
2023-11-12,Yelahanka,31,52.7
2023-11-12,Yeshwanthpura,12,16.0
2023-11-13,Adugodi,8,15.0
2023-11-13,Ashok Nagar,50,25.8
2023-11-13,Banashankari,6,8.0
